shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
116466,-122.509075,37.760036,1,0
116466,-122.508994,37.760054,2,7
116466,-122.50888,37.760143,3,21
116466,-122.508823,37.760179,4,27
116466,-122.508754,37.760233,5,36
116466,-122.508697,37.760268,6,42
116466,-122.508662,37.760277,7,45
116466,-122.508582,37.760295,8,52
116466,-122.508124,37.760304,9,92
116466,-122.508066,37.760331,10,98
116466,-122.506989,37.760376,11,193
116466,-122.505924,37.76043,12,287
116466,-122.504846,37.760475,13,382
116466,-122.503781,37.760521,14,476
116466,-122.502704,37.760566,15,571
116466,-122.501638,37.76062,16,665
116466,-122.500561,37.760665,17,760
116466,-122.499495,37.76071,18,854
116466,-122.498418,37.760755,19,949
116466,-122.497352,37.760809,20,1043
116466,-122.496275,37.760854,21,1138
116466,-122.495748,37.760881,22,1184
116466,-122.49521,37.760899,23,1231
116466,-122.494682,37.760926,24,1278
116466,-122.494132,37.760944,25,1326
116466,-122.493067,37.760998,26,1420
116466,-122.49199,37.761043,27,1515
116466,-122.490912,37.761088,28,1610
116466,-122.489847,37.761133,29,1704
116466,-122.48877,37.761187,30,1799
116466,-122.487704,37.761232,31,1893
116466,-122.486638,37.761277,32,1987
116466,-122.485561,37.761322,33,2082
116466,-122.484495,37.761375,34,2176
116466,-122.483418,37.76142,35,2271
116466,-122.482341,37.761465,36,2366
116466,-122.481275,37.761519,37,2460
116466,-122.480198,37.761564,38,2555
116466,-122.479132,37.761609,39,2649
116466,-122.478055,37.761654,40,2744
116466,-122.477001,37.761699,41,2837
116466,-122.475912,37.761752,42,2933
116466,-122.474847,37.761797,43,3027
116466,-122.473781,37.761842,44,3121
116466,-122.472658,37.761896,45,3220
116466,-122.471535,37.761941,46,3319
116466,-122.470458,37.761994,47,3414
116466,-122.469381,37.762039,48,3509
116466,-122.468315,37.762084,49,3603
116466,-122.467249,37.762129,50,3697
116466,-122.466172,37.762174,51,3792
116466,-122.46631,37.764038,52,4000
116466,-122.465244,37.764083,53,4094
116466,-122.464167,37.764137,54,4189
116466,-122.463101,37.764182,55,4283
